               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086965,            0.044429,            0.050597,             0.30338,            0.012286,           0.0013869,          0.00032801,             0.08155,            0.018864,            0.033515,             0.07004,           0.0033289,           0.0033289
                   1,            0.074366,            0.041773,            0.018162,             0.97561,             0.01416,            0.018658,           0.0069834,              0.0665,            0.021333,            0.021767,             0.03971,           0.0063324,           0.0063324
                   2,            0.060746,            0.038861,            0.012117,             0.89551,            0.054156,            0.083717,            0.029662,            0.058026,            0.018764,            0.017425,           0.0090507,            0.009006,            0.009006
                   3,            0.051982,            0.036022,           0.0098344,             0.86774,              0.1362,            0.089315,            0.041263,            0.046922,            0.017536,            0.014325,            0.008515,            0.008515,            0.008515
                   4,            0.046334,            0.034063,           0.0080373,             0.90176,             0.12526,             0.13576,            0.073151,            0.049343,            0.016625,            0.016499,            0.008515,            0.008515,            0.008515
                   5,            0.043286,            0.032473,           0.0077006,             0.93678,             0.15024,              0.1738,             0.10231,             0.04098,            0.015278,            0.010656,             0.00802,             0.00802,             0.00802
                   6,            0.040555,            0.031977,           0.0064837,             0.95981,             0.12852,             0.17223,            0.096594,             0.04127,            0.014493,            0.010535,            0.007525,            0.007525,            0.007525
                   7,             0.03939,            0.031088,           0.0059709,             0.96597,             0.15693,             0.22851,             0.12731,            0.039369,            0.014198,            0.010623,             0.00703,             0.00703,             0.00703
                   8,            0.037649,            0.029617,           0.0054287,             0.84015,             0.20168,             0.25087,              0.1507,            0.038272,            0.013507,           0.0088485,            0.006535,            0.006535,            0.006535
                   9,            0.035995,            0.028616,           0.0052543,             0.97058,             0.15755,             0.21063,             0.11503,            0.036799,            0.014025,           0.0085351,             0.00604,             0.00604,             0.00604
                  10,            0.034765,            0.028848,            0.005095,             0.96556,             0.16981,             0.26639,             0.17053,            0.034397,             0.01314,           0.0083457,            0.005545,            0.005545,            0.005545
                  11,            0.033989,            0.027788,           0.0046458,             0.97123,             0.16183,             0.28959,             0.19108,            0.035027,            0.013298,           0.0087815,             0.00505,             0.00505,             0.00505
                  12,            0.033114,            0.027537,           0.0045865,             0.97627,             0.16946,              0.2663,             0.17426,            0.035023,             0.01245,           0.0072654,            0.004555,            0.004555,            0.004555
                  13,            0.031794,            0.026684,           0.0042152,             0.97141,             0.17365,             0.30815,             0.19082,            0.031889,            0.012371,           0.0074947,             0.00406,             0.00406,             0.00406
                  14,            0.031177,            0.026393,           0.0041309,             0.97056,             0.17344,             0.30656,             0.20881,            0.031883,            0.012392,           0.0072104,            0.003565,            0.003565,            0.003565
                  15,            0.029954,            0.026059,           0.0041257,              0.6783,             0.27739,             0.31886,             0.21005,            0.031736,            0.011828,           0.0066694,             0.00307,             0.00307,             0.00307
                  16,            0.029667,            0.025338,           0.0040116,             0.62696,             0.25259,             0.34149,             0.21441,            0.031203,            0.011924,           0.0068232,            0.002575,            0.002575,            0.002575
                  17,            0.028464,             0.02506,           0.0037707,             0.73178,             0.30287,             0.33064,             0.22736,            0.031021,            0.011929,           0.0070978,             0.00208,             0.00208,             0.00208
                  18,            0.027295,            0.024372,           0.0035678,             0.73691,             0.31084,             0.33418,             0.24096,             0.03097,            0.011533,           0.0063587,            0.001585,            0.001585,            0.001585
                  19,            0.027248,            0.024285,           0.0035167,             0.70121,             0.30813,             0.34629,             0.24195,            0.030582,            0.011417,           0.0065272,             0.00109,             0.00109,             0.00109
